id_celda,num_reportes,num_puntos_criticos,num_cestas,tiene_macroruta,dist_cesta_mas_cercana,dist_punto_critico,target_riesgo
C00060,0.0,0.0,0.0,1,238.01028473099345,218.1835629699758,1
C00061,0.0,1.0,0.0,1,186.46359949402623,143.8423003949768,1
C00062,0.0,0.0,0.0,1,371.3271398518657,340.10675833034196,1
C00065,0.0,0.0,0.0,1,719.8914609693054,1048.432089259123,1
C00066,0.0,0.0,0.0,1,593.0830194235463,999.8640103014035,1
C00069,0.0,0.0,0.0,1,752.2394658316863,723.959283539822,1
C00070,0.0,0.0,0.0,1,780.1585030123592,726.1423842459409,1
C00187,0.0,0.0,0.0,1,187.34586802970918,190.92823051725017,1
C00188,0.0,1.0,20.0,1,45.050279596333375,134.17568691594465,1
C00189,0.0,2.0,22.0,1,76.65441817429016,90.22061055130959,1
C00190,0.0,1.0,4.0,1,115.53279033785809,65.57179351245415,1
C00191,0.0,0.0,0.0,1,341.26556545585566,286.6101993065354,1
C00192,0.0,0.0,0.0,1,587.0064281492652,533.8456261772909,1
C00193,0.0,0.0,0.0,1,771.0479782320537,782.8389993036345,1
C00194,0.0,0.0,0.0,1,550.4815238138601,944.628479999922,1
C00195,0.0,0.0,0.0,1,369.5126823527148,782.4096048377695,1
C00199,0.0,0.0,0.0,1,543.6402414284985,482.389005778498,1
C00315,0.0,0.0,0.0,1,170.80564368334026,134.71823878056472,1
C00316,0.0,0.0,36.0,1,17.375149653033894,219.89319198657654,1
C00317,0.0,0.0,42.0,1,51.97814635996419,172.92351382320103,1
C00318,0.0,0.0,34.0,1,3.245701596903331,164.08279627682924,1
C00319,0.0,0.0,0.0,1,180.0799837455274,247.39688619433917,1
C00320,0.0,0.0,0.0,1,417.8303765348356,416.6751800036693,1
C00322,0.0,0.0,0.0,1,710.1374998338636,839.2316117230536,1
C00323,0.0,0.0,0.0,1,461.31355063013547,793.5740141116975,1
C00324,0.0,0.0,0.0,1,215.23270039581496,591.2711225730411,1
C00325,0.0,0.0,8.0,1,69.53796993352323,440.9573277588387,1
C00328,0.0,0.0,0.0,1,327.78367009109354,251.2280708709837,1
C00329,0.0,0.0,0.0,1,416.5889692708243,437.3571327513057,1
C00443,0.0,0.0,0.0,1,316.8795721929709,301.17730703868193,1
C00444,0.0,1.0,6.0,1,103.52412966180614,121.10028622037645,1
C00445,0.0,0.0,36.0,1,53.251175295201875,252.23558109482036,1
C00446,0.0,0.0,26.0,1,43.67333314867356,408.4139668358074,1
C00447,0.0,0.0,20.0,1,109.25009416980478,413.16651546294963,1
C00448,0.0,0.0,0.0,1,321.20706352044084,471.2537208378384,1
C00449,0.0,0.0,0.0,1,492.985896606541,596.793219525892,1
C00450,0.0,0.0,0.0,1,635.5637240758507,770.0238640183435,1
C00451,0.0,0.0,0.0,1,622.2393926028132,947.2880459523969,1
C00452,0.0,0.0,0.0,1,454.19355885147684,701.5671503995482,1
C00453,0.0,0.0,0.0,1,258.18175973581134,460.47615685849985,1
C00454,0.0,0.0,24.0,1,26.85052661823084,238.4955252213455,1
C00455,0.0,0.0,0.0,1,172.48121629072253,163.4684681094097,1
C00456,0.0,1.0,18.0,1,39.430660923721625,123.96054338480847,1
C00457,0.0,0.0,8.0,1,94.23610522037917,136.13204725979924,1
C00458,0.0,0.0,0.0,1,167.86159108760643,256.7018476769606,1
C00570,0.0,0.0,0.0,1,433.65953811178105,693.9387981619518,1
C00571,0.0,0.0,0.0,1,383.1852517370159,642.8580999645316,1
C00572,0.0,0.0,0.0,1,284.6791893909211,460.6778112060449,1
C00573,0.0,0.0,2.0,1,138.00610623141534,369.0278509613833,1
C00574,0.0,0.0,12.0,1,45.724516944429126,299.41763197738146,1
C00575,0.0,0.0,39.0,1,19.106706308573894,312.31020997206093,1
C00576,0.0,0.0,51.0,1,2.785677746836284,480.0254328331396,1
C00577,0.0,0.0,2.0,1,143.903688352006,676.3792542761195,1
C00578,0.0,0.0,0.0,1,325.9263890284899,659.5363239386596,1
C00579,0.0,0.0,0.0,1,392.13365979879603,733.1353419212046,1
C00580,0.0,0.0,0.0,1,505.8422945845384,760.4095816869169,1
C00581,0.0,0.0,0.0,1,273.8506499119277,623.3400316317658,1
C00582,0.0,0.0,0.0,1,138.22013400263,446.62628861450077,1
C00583,0.0,0.0,0.0,1,142.8182730768519,210.51571484569746,1
C00584,0.0,1.0,2.0,1,118.004382755029,118.99029671543245,1
C00585,0.0,0.0,54.0,1,6.291668225795639,252.40479147730153,1
C00586,0.0,0.0,40.0,1,10.949270961023853,160.31539988666685,1
C00587,0.0,1.0,26.0,1,37.198988745698564,38.67635579061019,1
C00588,0.0,0.0,0.0,1,188.3812438415711,211.54490178395517,1
C00699,0.0,0.0,0.0,1,216.3004241670818,453.20021388282225,1
C00700,0.0,0.0,2.0,1,160.55065031399803,438.64978611969866,1
C00701,0.0,0.0,24.0,1,71.20379736130282,509.0919685288357,1
C00702,0.0,0.0,26.0,1,3.562579394676084,360.3778510328487,1
C00703,0.0,1.0,16.0,1,84.78088685142811,112.95549755945605,1
C00704,0.0,0.0,39.0,1,55.63773753065865,143.68609307359725,1
C00705,0.0,0.0,62.0,1,18.950426596694033,391.8321608247652,1
C00706,0.0,0.0,46.0,1,9.401263238028509,438.9254838111701,1
C00707,0.0,0.0,0.0,1,144.2516277212472,412.4982997762182,1
C00708,0.0,0.0,0.0,1,167.46767368038215,522.1629193055284,1
C00709,0.0,0.0,0.0,1,360.9601772436201,567.1249788114923,1
C00710,0.0,0.0,0.0,1,261.09044820483035,408.05334628420746,1
C00711,0.0,0.0,24.0,1,34.937706904178235,319.1200346690227,1
C00712,0.0,0.0,18.0,1,47.58929236390179,395.92122555299375,1
C00713,0.0,0.0,4.0,1,110.7504687368361,355.8025314114786,1
C00714,0.0,0.0,38.0,1,15.220005828775456,223.34760113708523,1
C00715,0.0,1.0,30.0,1,32.215670119957174,108.98164805971848,1
C00716,0.0,1.0,42.0,1,18.728785718237898,96.58934217822946,1
C00717,0.0,1.0,14.0,1,50.93916336857674,134.26845974338553,1
C00828,0.0,0.0,6.0,1,125.60813920918886,232.87295277128612,1
C00829,0.0,0.0,34.0,1,28.583511537008132,203.10837779825627,1
C00830,0.0,0.0,54.0,1,53.531112747143595,318.9948435775379,1
C00831,0.0,0.0,18.0,1,70.61545484946105,189.94037829411357,1
C00832,0.0,0.0,14.0,1,13.078765964418562,246.71232340291786,1
C00833,0.0,0.0,19.0,1,50.619398077772715,262.20930462650654,1
C00834,0.0,0.0,34.0,1,32.997923194622736,447.5745726504344,1
C00835,0.0,0.0,39.0,1,42.71028501377651,229.83094887899668,1
C00836,0.0,0.0,32.0,1,2.9647003000757572,174.13079004593354,1
